"";"Year";"Square";"Number";"SpitNum";"SpitID";"Assemblage";"X";"Y";"Z";"Code";"Orientation";"Dip"
"1074";2013;"J52";"399";"12";"J52C_12";"SUP";99,35;101,492;-0,795;"FAUNA";NA;NA
"1075";2013;"J52";"400";"rectif coupe N";"J52A_rectif coupe N";"SUP";99,478;101,968;-0,69;"FAUNA";NA;NA
"1076";2013;"J52";"401";"rectif coupe N";"J52A_rectif coupe N";"SUP";99,298;101,995;-0,683;"FAUNA";NA;NA
"1077";2013;"J52";"402";"rectif coupe N";"J52A_rectif coupe N";"SUP";99,234;101,941;-0,735;"FAUNA";NA;NA
"1078";2013;"J52";"403";"rectif coupe N";"J52A_rectif coupe N";"SUP";99,36;101,987;-0,72;"FAUNA";NA;NA
"1079";2013;"J52";"405";"rectif coupe N";"J52A_rectif coupe N";"SUP";99,152;101,959;-0,726;"FAUNA";NA;NA
"1080";2013;"J52";"406";"13";"J52B_13";"SUP";99,9245;101,783;-0,799;"SILEX";30;12
"1081";2013;"J52";"407";"13";"J52A_13";"SUP";100,007;101,728;-0,7775;"FAUNA";120;8
"1082";2013;"J52";"408";"13";"J52A_13";"SUP";100,034;101,539;-0,788;"FAUNA";NA;NA
"1083";2013;"J52";"409";"13";"J52B_13";"SUP";99,728;101,526;-0,807;"FAUNA";NA;NA
"1084";2013;"J52";"411";"13";"J52B_13";"SUP";99,906;101,854;-0,797;"FAUNA";NA;NA
"1085";2013;"J52";"412";"13";"J52C_13";"SUP";99,495;101,366;-0,783;"COPRO";NA;NA
"1086";2013;"J52";"413";"13";"J52C_13";"SUP";99,269;101,073;-0,799;"FAUNA";NA;NA
"1087";2013;"J52";"414";"13";"J52B_13";"SUP";99,599;101,961;-0,763;"FAUNA";NA;NA
"1088";2013;"J52";"415";"13";"J52B_13";"SUP";99,634;101,895;-0,805;"FAUNA";NA;NA
"1089";2013;"J52";"416";"13";"J52B_13";"SUP";99,613;101,826;-0,81;"FAUNA";NA;NA
"1090";2013;"J52";"417";"13";"J52B_13";"SUP";99,897;101,723;-0,815;"FAUNA";NA;NA
"1091";2013;"J52";"418";"13";"J52B_13";"SUP";99,964;101,605;-0,802;"FAUNA";NA;NA
"1092";2013;"J52";"419";"13";"J52A_13";"SUP";99,342;101,549;-0,812;"FAUNA";NA;NA
"1093";2013;"J52";"420";"13";"J52A_13";"SUP";99,445;101,978;-0,786;"FAUNA";NA;NA
"1094";2013;"J52";"421";"13";"J52A_13";"SUP";99,375;101,794;-0,807;"FAUNA";NA;NA
"1095";2013;"J52";"422";"13";"J52A_13";"SUP";99,319;101,8;-0,813;"COPRO";NA;NA
"1096";2013;"J52";"423";"13";"J52A_13";"SUP";99,214;101,685;-0,812;"FAUNA";NA;NA
"1097";2013;"J52";"424";"13";"J52B_13";"SUP";99,515;101,875;-0,819;"FAUNA";NA;NA
"1098";2013;"J52";"425";"13";"J52A_13";"SUP";99,329;101,567;-0,841;"FAUNA";NA;NA
"1099";2013;"J52";"426";"13";"J52A_13";"SUP";99,117;101,517;-0,805;"FAUNA";NA;NA
"1100";2013;"J52";"427";"13";"J52C_13";"SUP";99,325;101,434;-0,8;"FAUNA";NA;NA
"1101";2013;"J52";"428";"13";"J52C_13";"SUP";99,32;101,355;-0,815;"FAUNA";NA;NA
"1102";2013;"J52";"429";"13";"J52A_13";"SUP";99,209;101,87;-0,813;"FAUNA";NA;NA
"1103";2013;"J52";"430";"13";"J52C_13";"SUP";99,374;101,439;-0,827;"FAUNA";NA;NA
"1104";2013;"J52";"431";"13";"J52C_13";"SUP";99,494;101,41;-0,808;"FAUNA";NA;NA
"1105";2013;"J52";"432";"13";"J52C_13";"SUP";99,408;101,38;-0,824;"FAUNA";NA;NA
"1106";2013;"J52";"433";"13";"J52C_13";"SUP";99,301;101,263;-0,845;"FAUNA";296;6
"1107";2013;"J52";"434";"13";"J52A_13";"SUP";100,14;100,924;-0,698;"SILEX";NA;NA
"1108";2013;"J52";"435";"13";"J52A_13";"SUP";100,083;100,945;-0,707;"FAUNA";NA;NA
